Column,Key,Value
"HRMONTH","01","MIN VALUE"
"HRMONTH","12","MAX VALUE"
"HRYEAR4","1998","MIN VALUE"
"HRYEAR4","2999","MAX VALUE"
"HURESPLI","0","MIN VALUE"
"HURESPLI","99","MAX VALUE"
"HUFINAL","001","FULLY COMPLETE CATI INTERVIEW"
"HUFINAL","002","PARTIALLY COMPLETED CATI INTERVIEW"
"HUFINAL","003","COMPLETE BUT PERSONAL VISIT REQUESTED NEXT MONTH"
"HUFINAL","004","PARTIAL, NOT COMPLETE AT CLOSEOUT"
"HUFINAL","005","LABOR FORCE COMPLETE, SUPPLEMENT INCOMPLETE - CATI"
"HUFINAL","006","LF COMPLETE, SUPPLEMENT DK ITEMS INCOMPLETE AT"
"HUFINAL","020","HH OCCUPIED ENTIRELY BY ARMED FORCES MEMBERS"
"HUFINAL","15","YEARS OF AGE"
"HUFINAL","201","CAPI COMPLETE"
"HUFINAL","202","CALLBACK NEEDED"
"HUFINAL","203","SUFFICIENT PARTIAL - PRECLOSEOUT"
"HUFINAL","204","SUFFICIENT PARTIAL - AT CLOSEOUT"
"HUFINAL","205","LABOR FORCE COMPLETE, - SUPPL. INCOMPLETE - CAPI"
"HUFINAL","213","LANGUAGE BARRIER"
"HUFINAL","214","UNABLE TO LOCATE"
"HUFINAL","216","NO ONE HOME"
"HUFINAL","217","TEMPORARILY ABSENT"
"HUFINAL","218","REFUSED"
"HUFINAL","219","OTHER OCCUPIED - SPECIFY"
"HUFINAL","223","ENTIRE HOUSEHOLD ARMED FORCES"
"HUFINAL","224","ENTIRE HOUSEHOLD UNDER 15"
"HUFINAL","225","TEMP. OCCUPIED W/PERSONS WITH URE"
"HUFINAL","226","VACANT REGULAR"
"HUFINAL","227","VACANT - STORAGE OF HHLD FURNITURE"
"HUFINAL","228","UNFIT, TO BE DEMOLISHED"
"HUFINAL","229","UNDER CONSTRUCTION, NOT READY"
"HUFINAL","230","CONVERTED TO TEMP BUSINESS OR STORAGE"
"HUFINAL","231","UNOCCUPIED TENT OR TRAILER SITE"
"HUFINAL","232","PERMIT GRANTED - CONSTRUCTION NOT STARTED"
"HUFINAL","233","OTHER - SPECIFY"
"HUFINAL","240","DEMOLISHED"
"HUFINAL","241","HOUSE OR TRAILER MOVED"
"HUFINAL","242","OUTSIDE SEGMENT"
"HUFINAL","243","CONVERTED TO PERM. BUSINESS OR STORAGE"
"HUFINAL","244","MERGED"
"HUFINAL","245","CONDEMNED"
"HUFINAL","247","UNUSED SERIAL NUMBER OR LISTING SHEET"
"HUFINAL","248","OTHER - SPECIFY"
"HUFINAL","258","UNLOCATABLE SAMPLE ADDRESS"
"HUFINAL","259","UNIT DOES NOT EXIST/OUT OF SCOPE"
"HUFINAL","256","REMOVED DURING SUB-SAMPLING"
"HUFINAL","257","UNIT ALREADY HAD A CHANCE OF SELECTION"
"HETENURE","1","OWNED OR BEING BOUGHT BY A HH MEMBER"
"HETENURE","2","RENTED FOR CASH"
"HETENURE","3","OCCUPIED WITHOUT PAYMENT OF CASH RENT"
"HEHOUSUT","0","OTHER UNIT"
"HEHOUSUT","1","HOUSE, APARTMENT, FLAT"
"HEHOUSUT","2","HU IN NONTRANSIENT HOTEL, MOTEL, ETC."
"HEHOUSUT","3","HU PERMANENT IN TRANSIENT HOTEL, MOTEL"
"HEHOUSUT","4","HU IN ROOMING HOUSE"
"HEHOUSUT","5","MOBILE HOME OR TRAILER W/NO PERM. ROOM ADDED"
"HEHOUSUT","6","MOBILE HOME OR TRAILER W/1 OR MORE PERM. ROOMS ADDED"
"HEHOUSUT","7","HU NOT SPECIFIED ABOVE"
"HEHOUSUT","8","QUARTERS NOT HU IN ROOMING OR BRDING HS"
"HEHOUSUT","9","UNIT NOT PERM. IN TRANSIENT HOTL, MOTL"
"HEHOUSUT","10","UNOCCUPIED TENT SITE OR TRLR SITE"
"HEHOUSUT","11","STUDENT QUARTERS IN COLLEGE DORM"
"HEHOUSUT","12","OTHER UNIT NOT SPECIFIED ABOVE"
"HETELHHD","1","YES"
"HETELHHD","2","NO"
"HETELAVL","1","YES"
"HETELAVL","2","NO"
"HEFAMINC","1","LESS THAN $5,000"
"HEFAMINC","2","5,000 TO 7,499"
"HEFAMINC","3","7,500 TO 9,999"
"HEFAMINC","4","10,000 TO 12,499"
"HEFAMINC","5","12,500 TO 14,999"
"HEFAMINC","6","15,000 TO 19,999"
"HEFAMINC","7","20,000 TO 24,999"
"HEFAMINC","8","25,000 TO 29,999"
"HEFAMINC","9","30,000 TO 34,999"
"HEFAMINC","10","35,000 TO 39,999"
"HEFAMINC","11","40,000 TO 49,999"
"HEFAMINC","12","50,000 TO 59,999"
"HEFAMINC","13","60,000 TO 74,999"
"HEFAMINC","14","75,000 TO 99,999"
"HEFAMINC","15","100,000 TO 149,999"
"HEFAMINC","16","150,000 OR MORE"
"HUTYPEA","1","NO ONE HOME (NOH)"
"HUTYPEA","2","TEMPORARILY ABSENT (TA)"
"HUTYPEA","3","REFUSED (REF)"
"HUTYPEA","4","LANGUAGE BARRIER"
"HUTYPEA","5","UNABLE TO LOCATE"
"HUTYPEA","6","OTHER OCCUPIED - SPECIFY"
"HUTYPB","1","VACANT REGULAR"
"HUTYPB","2","TEMPORARILY OCCUPIED BY PERSONS W/ URE"
"HUTYPB","3","VACANT-STORAGE OF HHLD FURNITURE"
"HUTYPB","4","UNFIT OR TO BE DEMOLISHED"
"HUTYPB","5","UNDER CONSTRUCTION, NOT READY"
"HUTYPB","6","CONVERTED TO TEMP BUSINESS OR STORAGE"
"HUTYPB","7","UNOCCUPIED TENT SITE OR TRAILER SITE"
"HUTYPB","8","PERMIT GRANTED CONSTRUCTION NOT STARTED"
"HUTYPB","9","OTHER TYPE B - SPECIFY"
"HUTYPC","1","DEMOLISHED"
"HUTYPC","2","HOUSE OR TRAILER MOVED"
"HUTYPC","3","OUTSIDE SEGMENT"
"HUTYPC","4","CONVERTED TO PERM. BUSINESS OR STORAGE"
"HUTYPC","5","MERGED"
"HUTYPC","6","CONDEMNED"
"HUTYPC","7","UNUSED LINE OF LISTING SHEET"
"HUTYPC","8","UNLOCATABLE SAMPLE ADDRESS"
"HUTYPC","9","UNIT DOES NOT EXIST/OUT OF SCOPE"
"HUTYPC","10","OTHER - SPECIFY"
"HRINTSTA","1","INTERVIEW"
"HRINTSTA","2","TYPE A NON-INTERVIEW"
"HRINTSTA","3","TYPE B NON-INTERVIEW"
"HRINTSTA","4","TYPE C NON-INTERVIEW"
"HRNUMHOU","0","MIN VALUE"
"HRNUMHOU","16","MAX VALUE"
"HRHTYPE","0","NON-INTERVIEW HOUSEHOLD"
"HRHTYPE","1","HUSBAND/WIFE PRIMARY FAMILY (NEITHER AF)"
"HRHTYPE","2","HUSB/WIFE PRIM. FAMILY (EITHER/BOTH AF)"
"HRHTYPE","3","UNMARRIED CIVILIAN MALE-PRIM. FAM HHLDER"
"HRHTYPE","4","UNMARRIED CIV. FEMALE-PRIM FAM HHLDER"
"HRHTYPE","5","PRIMARY FAMILY HHLDER-RP IN AF, UNMAR."
"HRHTYPE","6","CIVILIAN MALE PRIMARY INDIVIDUAL"
"HRHTYPE","7","CIVILIAN FEMALE PRIMARY INDIVIDUAL"
"HRHTYPE","8","PRIMARY INDIVIDUAL HHLD-RP IN AF"
"HRHTYPE","9","GROUP QUARTERS WITH FAMILY"
"HRHTYPE","10","GROUP QUARTERS WITHOUT FAMILY"
"HRMIS","1","MIN VALUE"
"HRMIS","8","MAX VALUE"
"HUINTTYP","0","NONINTERVIEW/INDETERMINATE"
"HUINTTYP","1","PERSONAL"
"HUINTTYP","2","TELEPHONE"
"HUPRSCNT","1","MIN VALUE"
"HUPRSCNT","9","MAX VALUE"
"HRLONGLK","0","MIS 1 OR REPLACEMENT HH (NO LINK)"
"HRLONGLK","2","MIS 2-4 OR MIS 6-8"
"HRLONGLK","3","MIS 5"
"HWHHWTLN","0","MIN VALUE"
"HWHHWTLN","16","MAX VALUE"
"HUBUS","1","YES"
"HUBUS","2","NO"
"HUBUSL1","01","MIN VALUE"
"HUBUSL1","99","MAX VALUE"
"HUBUSL2","1","MIN VALUE"
"HUBUSL2","99","MAX VALUE"
"HUBUSL3","1","MIN VALUE"
"HUBUSL3","99","MAX VALUE"
"HUBUSL4","1","MIN VALUE"
"HUBUSL4","99","MAX VALUE"
"GEREG","1","NORTHEAST"
"GEREG","2","MIDWEST (FORMERLY NORTH CENTRAL)"
"GEREG","3","SOUTH"
"GEREG","4","WEST"
"GEDIV","1","NEW ENGLAND"
"GEDIV","2","MIDDLE ATLANTIC"
"GEDIV","3","EAST NORTH CENTRAL"
"GEDIV","4","WEST NORTH CENTRAL"
"GEDIV","5","SOUTH ATLANTIC"
"GEDIV","6","EAST SOUTH CENTRAL"
"GEDIV","7","WEST SOUTH CENTRAL"
"GEDIV","8","MOUNTAIN"
"GEDIV","9","PACIFIC"
"GESTFIPS","01","AL"
"GESTFIPS","02","AK"
"GESTFIPS","04","AZ"
"GESTFIPS","05","AR"
"GESTFIPS","06","CA"
"GESTFIPS","08","CO"
"GESTFIPS","09","CT"
"GESTFIPS","10","DE"
"GESTFIPS","11","DC"
"GESTFIPS","12","FL"
"GESTFIPS","13","GA"
"GESTFIPS","15","HI"
"GESTFIPS","16","ID"
"GESTFIPS","17","IL"
"GESTFIPS","18","IN"
"GESTFIPS","19","IA"
"GESTFIPS","20","KS"
"GESTFIPS","21","KY"
"GESTFIPS","22","LA"
"GESTFIPS","23","ME"
"GESTFIPS","24","MD"
"GESTFIPS","25","MA"
"GESTFIPS","26","MI"
"GESTFIPS","27","MN"
"GESTFIPS","28","MS"
"GESTFIPS","29","MO"
"GESTFIPS","30","MT"
"GESTFIPS","31","NE"
"GESTFIPS","32","NV"
"GESTFIPS","33","NH"
"GESTFIPS","34","NJ"
"GESTFIPS","35","NM"
"GESTFIPS","36","NY"
"GESTFIPS","37","NC"
"GESTFIPS","38","ND"
"GESTFIPS","39","OH"
"GESTFIPS","40","OK"
"GESTFIPS","41","OR"
"GESTFIPS","42","PA"
"GESTFIPS","44","RI"
"GESTFIPS","45","SC"
"GESTFIPS","46","SD"
"GESTFIPS","47","TN"
"GESTFIPS","48","TX"
"GESTFIPS","49","UT"
"GESTFIPS","50","VT"
"GESTFIPS","51","VA"
"GESTFIPS","53","WA"
"GESTFIPS","54","WV"
"GESTFIPS","55","WI"
"GESTFIPS","56","WY"
"GTCBSA","00000","NOT IDENTIFIED OR NONMETROPOLITAN"
"GTCBSA","10180","MIN VALUE"
"GTCBSA","49740","MAX VALUE"
"GTCO","000","NOT IDENTIFIED"
"GTCO","001","-810	SPECIFIC COUNTY CODE"
"GTCBSAST","1","PRINCIPAL CITY"
"GTCBSAST","2","BALANCE"
"GTCBSAST","3","NONMETROPOLITAN"
"GTCBSAST","4","NOT IDENTIFIED"
"GTMETSTA","1","METROPOLITAN"
"GTMETSTA","2","NONMETROPOLITAN"
"GTMETSTA","3","NOT IDENTIFIED"
"GTINDVPC","0","NOT IDENTIFIED, NONMETROPOLITAN,"
"GTINDVPC","1","-7	SPECIFIC PRINCIPAL CITY CODE"
"GTCBSASZ","0","NOT IDENTIFIED OR NONMETROPOLITAN"
"GTCBSASZ","2","100,000 - 249,999"
"GTCBSASZ","3","250,000 - 499,999"
"GTCBSASZ","4","500,000 - 999,999"
"GTCBSASZ","5","1,000,000 - 2,499,999"
"GTCBSASZ","6","2,500,000 - 4,999,999"
"GTCBSASZ","7","5,000,000+"
"GTCSA","000","NOT IDENTIFIED OR NONMETROPOLITAN"
"GTCSA","104","MIN VALUE"
"GTCSA","548","MAX VALUE"
"PERRP","40","REFERENCE PERSON W/RELS."
"PERRP","41","REFERENCE PERSON W/O RELS."
"PERRP","42","OPPOSITE SEX SPOUSE"
"PERRP","43","OPPOSITE SEX PARTNER WITH RELATIVES"
"PERRP","44","OPPOSITE SEC PARTNER WITHOUT RELATIVES"
"PERRP","45","SAME SEX SPOUSE"
"PERRP","46","SAME SEX PARTNER WITH RELATIVES"
"PERRP","47","SAME SEX PARTNER WITHOUT RELATIVES"
"PERRP","48","CHILD"
"PERRP","49","GRANDCHILD"
"PERRP","50","PARENT"
"PERRP","51","BROTHER/SISTER"
"PERRP","52","OTHER REL. OR REF. PERSON"
"PERRP","53","FOSTER CHILD"
"PERRP","54","HOUSEMATE/ROOMMATE W/RELS."
"PERRP","55","HOUSEMATE/ROOMMATEW/O RELS."
"PERRP","56","ROOMER/BOARDER W/RELS."
"PERRP","57","ROOMER/BOARDER W/OUT RELS."
"PERRP","58","NONRELATIVE OF REFERENCE PERSON W/RELS."
"PERRP","59","NONRELATIVE OF REFERENCE PERSON W/OUT RELS."
"PRTAGE","00-79","Age in Years"
"PRTAGE","80","80-84 Years Old"
"PRTAGE","85","85+ Years Old"
"PRTFAGE","0","NO TOP CODE"
"PRTFAGE","1","TOP CODED VALUE FOR AGE"
"PEMARITL","1","MARRIED - SPOUSE PRESENT"
"PEMARITL","2","MARRIED - SPOUSE ABSENT"
"PEMARITL","3","WIDOWED"
"PEMARITL","4","DIVORCED"
"PEMARITL","5","SEPARATED"
"PEMARITL","6","NEVER MARRIED"
"PESPOUSE","-1","NO SPOUSE"
"PESPOUSE","01","MIN VALUE"
"PESPOUSE","99","MAX VALUE"
"PESEX","1","MALE"
"PESEX","2","FEMALE"
"PEAFEVER","1","YES"
"PEAFEVER","2","NO"
"PEAFNOW","1","YES"
"PEAFNOW","2","NO"
"PEEDUCA","31","LESS THAN 1ST GRADE"
"PEEDUCA","32","1ST, 2ND, 3RD OR 4TH GRADE"
"PEEDUCA","33","5TH OR 6TH GRADE"
"PEEDUCA","34","7TH OR 8TH GRADE"
"PEEDUCA","35","9TH GRADE"
"PEEDUCA","36","10TH GRADE"
"PEEDUCA","37","11TH GRADE"
"PEEDUCA","38","12TH GRADE NO DIPLOMA"
"PEEDUCA","39","HIGH SCHOOL GRAD-DIPLOMA OR EQUIV (GED)"
"PEEDUCA","40","SOME COLLEGE BUT NO DEGREE"
"PEEDUCA","41","ASSOCIATE DEGREE-OCCUPATIONAL/VOCATIONAL"
"PEEDUCA","42","ASSOCIATE DEGREE-ACADEMIC PROGRAM"
"PEEDUCA","43","BACHELOR'S DEGREE (EX: BA, AB, BS)"
"PEEDUCA","44","MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
"PEEDUCA","45","PROFESSIONAL SCHOOL DEG (EX: MD, DDS, DVM)"
"PEEDUCA","46","DOCTORATE DEGREE (EX: PhD, EdD)"
"PTDTRACE","01","White Only"
"PTDTRACE","02","Black Only"
"PTDTRACE","03","American Indian, Alaskan Native Only"
"PTDTRACE","04","Asian Only"
"PTDTRACE","05","Hawaiian/Pacific Islander Only"
"PTDTRACE","06","White-Black"
"PTDTRACE","07","White-AI"
"PTDTRACE","08","White-Asian"
"PTDTRACE","09","White-HP"
"PTDTRACE","10","Black-AI"
"PTDTRACE","11","Black-Asian"
"PTDTRACE","12","Black-HP"
"PTDTRACE","13","AI-Asian"
"PTDTRACE","14","AI-HP"
"PTDTRACE","15","Asian-HP"
"PTDTRACE","16","W-B-AI"
"PRDTHSP","1","Mexican"
"PRDTHSP","2","Puerto Rican"
"PRDTHSP","3","Cuban"
"PRDTHSP","4","Dominican"
"PRDTHSP","5","Salvadoran"
"PRDTHSP","6","Central American, excluding Salvadoran"
"PRDTHSP","7","South American"
"PRDTHSP","8","Other Spanish"
"PUCHINHH","1","PERSON ADDED"
"PUCHINHH","2","PERSON ADDED - URE"
"PUCHINHH","3","PERSON UNDELETED"
"PUCHINHH","4","PERSON DIED"
"PUCHINHH","5","DELETED FOR REASON OTHER THAN DEATH"
"PUCHINHH","6","PERSON JOINED ARMED FORCES"
"PUCHINHH","7","PERSON NO LONGER IN AF"
"PUCHINHH","9","CHANGE IN DEMOGRAPHIC INFORMATION"
"PULINENO","01","MIN VALUE"
"PULINENO","99","MAX VALUE"
"PRFAMNUM","00","NOT A FAMILY MEMBER"
"PRFAMNUM","01","PRIMARY FAMILY MEMBER ONLY"
"PRFAMNUM","02","SUBFAMILY NO. 2 MEMBER"
"PRFAMNUM","03","SUBFAMILY NO. 3 MEMBER"
"PRFAMNUM","04","SUBFAMILY NO. 4 MEMBER"
"PRFAMNUM","05","SUBFAMILY NO. 5 MEMBER"
"PRFAMNUM","06","SUBFAMILY NO. 6 MEMBER"
"PRFAMNUM","07","SUBFAMILY NO. 7 MEMBER"
"PRFAMNUM","08","SUBFAMILY NO. 8 MEMBER"
"PRFAMNUM","09","SUBFAMILY NO. 9 MEMBER"
"PRFAMNUM","10","SUBFAMILY NO. 10 MEMBER"
"PRFAMNUM","11","SUBFAMILY NO. 11 MEMBER"
"PRFAMNUM","12","SUBFAMILY NO. 12 MEMBER"
"PRFAMNUM","13","SUBFAMILY NO. 13 MEMBER"
"PRFAMNUM","14","SUBFAMILY NO. 14 MEMBER"
"PRFAMNUM","15","SUBFAMILY NO. 15 MEMBER"
"PRFAMNUM","16","SUBFAMILY NO. 16 MEMBER"
"PRFAMNUM","17","SUBFAMILY NO. 17 MEMBER"
"PRFAMNUM","18","SUBFAMILY NO. 18 MEMBER"
"PRFAMNUM","19","SUBFAMILY NO. 19 MEMBER"
"PRFAMREL","0","NOT A FAMILY MEMBER"
"PRFAMREL","1","REFERENCE PERSON"
"PRFAMREL","2","SPOUSE"
"PRFAMREL","3","CHILD"
"PRFAMREL","4","OTHER RELATIVE (PRIMARY FAMILY & UNREL)"
"PRFAMTYP","1","PRIMARY FAMILY"
"PRFAMTYP","2","PRIMARY INDIVIDUAL"
"PRFAMTYP","3","RELATED SUBFAMILY"
"PRFAMTYP","4","UNRELATED SUBFAMILY"
"PRFAMTYP","5","SECONDARY INDIVIDUAL"
"PEHSPNON","1","HISPANIC"
"PEHSPNON","2","NON-HISPANIC"
"PRMARSTA","1","MARRIED, CIVILIAN SPOUSE PRESENT"
"PRMARSTA","2","MARRIED, ARMED FORCES SPOUSE PRESENT"
"PRMARSTA","3","MARRIED, SPOUSE ABSENT (EXC. SEPARATED)"
"PRMARSTA","4","WIDOWED"
"PRMARSTA","5","DIVORCED"
"PRMARSTA","6","SEPARATED"
"PRMARSTA","7","NEVER MARRIED"
"PRPERTYP","1","CHILD HOUSEHOLD MEMBER"
"PRPERTYP","2","ADULT CIVILIAN HOUSEHOLD MEMBER"
"PRPERTYP","3","ADULT ARMED FORCES HOUSEHOLD MEMBER"
"PENATVTY","057","UNITED STATES"
"PENATVTY","060","AM SAMOA"
"PENATVTY","066","GUAM"
"PENATVTY","073","PUERTO RICO"
"PENATVTY","078","U. S. VIRGIN ISLANDS"
"PENATVTY","096","OTHER U. S. ISLAND AREA"
"PENATVTY","100-554","FOREIGN COUNTRY (SEE APPENDIX)"
"PENATVTY","555","ELSEWHERE"
"PEMNTVTY","057","UNITED STATES"
"PEMNTVTY","060","AM SAMOA"
"PEMNTVTY","066","GUAM"
"PEMNTVTY","073","PUERTO RICO"
"PEMNTVTY","078","U. S. VIRGIN ISLANDS"
"PEMNTVTY","096","OTHER U. S. ISLAND AREA"
"PEMNTVTY","100-554","FOREIGN COUNTRY (SEE APPENDIX)"
"PEMNTVTY","555","ELSEWHERE"
"PEFNTVTY","057","UNITED STATES"
"PEFNTVTY","060","AM SAMOA"
"PEFNTVTY","066","GUAM"
"PEFNTVTY","073","PUERTO RICO"
"PEFNTVTY","078","U. S. VIRGIN ISLANDS"
"PEFNTVTY","096","OTHER U. S. ISLAND AREA"
"PEFNTVTY","100-554","FOREIGN COUNTRY (SEE APPENDIX)"
"PEFNTVTY","555","ELSEWHERE"
"PRCITSHP","1","NATIVE, BORN IN THE UNITED STATES"
"PRCITSHP","2","NATIVE, BORN IN PUERTO RICO OR OTHER U.S. ISLAND AREAS"
"PRCITSHP","3","NATIVE, BORN ABROAD OF AMERICAN PARENT OR PARENTS"
"PRCITSHP","4","FOREIGN BORN, U.S. CITIZEN BY NATURALIZATION"
"PRCITSHP","5","FOREIGN BORN, NOT A CITIZEN OF THE UNITED STATES"
"PRINUSYR","-1","NOT IN UNIVERSE (BORN IN U.S.)"
"PRINUSYR","00","NOT FOREIGN BORN"
"PRINUSYR","01","BEFORE 1950"
"PRINUSYR","02","1950-1959"
"PRINUSYR","03","1960-1964"
"PRINUSYR","04","1965-1969"
"PRINUSYR","05","1970-1974"
"PRINUSYR","06","1975-1979"
"PRINUSYR","07","1980-1981"
"PRINUSYR","08","1982-1983"
"PRINUSYR","09","1984-1985"
"PRINUSYR","10","1986-1987"
"PRINUSYR","11","1988-1989"
"PRINUSYR","12","1990-1991"
"PRINUSYR","13","1992-1993"
"PRINUSYR","14","1994-1995"
"PRINUSYR","15","1996-1997"
"PRINUSYR","16","1998-1999"
"PRINUSYR","17","2000-2001"
"PRINUSYR","18","2002-2003"
"PRINUSYR","19","2004-2005"
"PRINUSYR","20","2006-2007"
"PRINUSYR","21","2008-2009"
"PRINUSYR","22","2010-2011"
"PRINUSYR","23","2012-2013"
"PRINUSYR","24","2014-2015"
"PRINUSYR","25","2016-2017"
"PRINUSYR","26","2018-2020"
"PUSLFPRX","1","SELF"
"PUSLFPRX","2","PROXY"
"PUSLFPRX","3","BOTH SELF AND PROXY"
"PEMLR","1","EMPLOYED-AT WORK"
"PEMLR","2","EMPLOYED-ABSENT"
"PEMLR","3","UNEMPLOYED-ON LAYOFF"
"PEMLR","4","UNEMPLOYED-LOOKING"
"PEMLR","5","NOT IN LABOR FORCE-RETIRED"
"PEMLR","6","NOT IN LABOR FORCE-DISABLED"
"PEMLR","7","NOT IN LABOR FORCE-OTHER"
"PUWK","1","YES"
"PUWK","2","NO"
"PUWK","3","RETIRED"
"PUWK","4","DISABLED"
